NOM_AGENCE;NUM_AGENCE;NOM_DOSSIER;DAT_RECEPT;NUM_AGREMENT;LOT_NUM_REF;LOT_ADR_1;LOT_ADR_2;LOT_CP;LOT_VILLE;MNT_LOYER;LOT_TYP;LOT_MEUBLE;LOT_SUPERFICIE;PRES_DOS_FIC;NOM_REFERENT;DAT_DEB_TRAIT;DAT_COMPLET;DAT_INFO_AGENCE;FLG_COMPLET;JUST_MANQ;DAT_JUST_MANQ;RESULT_EFF;DOSS_PHASE;DOSS_STATUT;FLG_GARANTI;NUM_CONTRAT;CAUSE_REFUS;DOSS_COMMENT;DAT_SIGN_BAIL;DAT_EFF_BAIL;NB_LOC
Muller - Pierre;+33 380413370;Denis;02/07/2019 17:37:42;AGR_201907021CYU;undefined_614cb604-a64e-42e6-85aa-709f58244315;5795 Célia d'Orsel;;43156;New Clémenceport;632.05;f1;ABS;23344;OUI;Gaillard;02/07/2019 17:43:32;02/07/2019 18:55:41;03/07/2019 17:26:25;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 216605783;;Excepturi qui aliquam. Et in molestiae reiciendis quae. Assumenda impedit corporis quidem molestiae hic totam nostrum alias quam. Molestias perferendis molestiae et. Voluptatibus nisi beatae aut ex quisquam aut qui fuga. Quae eos voluptas vel molestiae velit.;;05/07/2019;1
Rolland EURL;+33 310104066;Guyot;02/07/2019 17:50:58;AGR_201907021DKY;28735_5fa815d9-90d0-43fd-a951-ce10e289510a;2513 Ethan Lepic;;42904;Noahland;877.15;t3;ABS;71209;OUI;Blanc;02/07/2019 17:58:01;02/07/2019 19:24:37;03/07/2019 17:29:54;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 441759089;;Reprehenderit nam ipsa magnam dolor debitis vel ipsa velit. Quam dolores reprehenderit optio fugiat id ea autem. Dignissimos veniam aut sit nam hic.;;15/08/2019;2
Schmitt SAS;+33 715154946;Menard;03/07/2019 11:08:45;AGR_201907030UYL;150995_6f803d23-c268-4b82-8f3a-34c55c1bdbe7;1925 Nicolas Bonaparte;;61700;West Linaburgh;821.56;t1;ABS;78573;OUI;Roger;03/07/2019 11:26:38;03/07/2019 11:51:37;04/07/2019 10:11:04;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 192024697;;Et consequatur voluptatum quo. Beatae quod quae dolorum molestiae doloremque deserunt deserunt sequi. Non vitae nemo quam quis numquam fugit sed aut. Accusamus reiciendis totam nesciunt et.;;27/07/2019;2
Carre SA;+33 244018456;Dumas;03/07/2019 10:06:52;AGR_201907030S3G;10756_0c555d34-2af7-460b-aa00-057c88878b19;6963 Nicolas Pastourelle;;54374;North Maëlle;880.75;t1;ABS;73576;OUI;Philippe;03/07/2019 10:19:04;03/07/2019 12:12:09;04/07/2019 10:35:28;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0195743012;;Et numquam ut voluptatem. Autem porro asperiores ex distinctio qui sequi sed molestias est. Qui deserunt sit non.;;15/07/2019;1
Vincent, Muller and Deschamps;+33 211004698;Baron;03/07/2019 12:45:06;AGR_201907030ZF6;110178_ece9ed81-1a77-4c7a-af33-fc9e145ddbfa;954 Morel de Solférino;;41692;North Mathéoville;46.18;f1;ABS;18272;OUI;Muller;03/07/2019 12:51:21;03/07/2019 13:11:46;04/07/2019 11:09:26;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 116008426;;Et beatae eum exercitationem et. Molestiae rerum sint saepe quo. Ut dolor ipsum culpa. Quas nihil illo architecto harum omnis. Quidem id vitae voluptatem tempore velit aut occaecati doloremque. Corrupti molestias et sed incidunt fuga.;;01/08/2019;2
Duval SA;+33 354490621;Rousseau;03/07/2019 11:32:32;AGR_201907030W28;undefined_26767bab-456f-400d-b4ce-89cc929071f1;6000 Duval des Panoramas;;36099;Alexandreburgh;662.59;f2;ABS;60070;OUI;Charles;03/07/2019 11:42:47;03/07/2019 17:16:09;04/07/2019 12:17:53;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0251800284;;Ratione in et aut. Non dolor et assumenda. Et eaque doloribus ut unde quis. Alias et error exercitationem.;;22/07/2019;1
Deschamps - Joly;0540810279;Chevalier;03/07/2019 12:09:34;AGR_201907030XRY;0258115_ac00bd10-3d38-473f-8c1b-46ae31968b85;45639 Quentin de l'Abbaye;;41195;North Valentinhaven;53.58;t2;ABS;13857;OUI;Lambert;03/07/2019 12:27:46;03/07/2019 18:20:50;04/07/2019 12:34:42;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0288327566;;Autem voluptate velit et ab autem delectus dolor aperiam. Eligendi vel similique ut voluptatem quisquam perferendis architecto. Quibusdam explicabo molestias sit. Porro earum perspiciatis reiciendis nemo. Corporis qui ipsam pariatur voluptas tempore et exercitationem et beatae.;;01/07/2019;1
Garcia EI;0795016276;Faure;03/07/2019 15:46:32;AGR_2019070317TK;2098_e6889975-a235-42f7-ae32-b0468b82878a;39103 Emilie de la Paix;;03468;West Anaïs;50.74;f2;ABS;93309;OUI;Thomas;03/07/2019 19:16:16;04/07/2019 01:11:00;04/07/2019 12:54:31;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 111120081;;Dolores porro et qui perspiciatis iusto qui atque maxime. Consequatur consequuntur repudiandae fugiat vel aut. Vel voluptas ut vel. Explicabo sit qui dolor voluptas eius consectetur repellendus.;;29/07/2019;2
Marty, Martinez and Gonzalez;+33 781341398;Sanchez;03/07/2019 15:09:33;AGR_20190703163X;2357_3eaa9513-4455-4025-af83-6bdce9a2aab8;47799 Blanc du Faubourg-Saint-Denis;;94180;Louisefurt;921.71;f1;ABS;21905;OUI;Renaud;03/07/2019 15:18:54;03/07/2019 15:49:08;04/07/2019 13:39:25;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0704085310;;Sunt rerum labore sit similique veniam consequatur molestiae. Quod iste quaerat deserunt molestiae magnam rerum dolore. Aliquid voluptatem facere esse consequatur odio quis ipsam dignissimos. Accusamus saepe molestias. Dolore sit ab iure.;;15/08/1997;1
Thomas - Bertrand;0491028503;Collet;03/07/2019 13:33:42;AGR_2019070311O6;14481 Q_f1696489-5579-473a-b37e-25668286f18b;1188 Lemoine Dauphine;;33728;North Sarah;468.87;t3;ABS;23597;OUI;Aubry;03/07/2019 13:45:33;04/07/2019 01:41:21;04/07/2019 13:57:08;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 450539851;;Incidunt hic incidunt vel incidunt qui. Consequatur animi consequuntur minima. Unde sequi architecto quis aut quidem nemo. Culpa harum voluptas fugit neque.;;01/07/2019;2
Mathieu SCOP;+33 134431146;Roche;03/07/2019 15:13:57;AGR_2019070316B9;110178/8521_7145a721-b966-4597-8df4-81f46dd561a9;634 Berger Mouffetard;;69437;Leclercchester;613.95;f1;ABS;99576;OUI;Barbier;03/07/2019 15:37:51;04/07/2019 00:27:20;04/07/2019 14:01:43;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0759648128;;Illum odit ab unde. Dolorem alias dolores eaque dolor quibusdam vero dicta est non. Facere sed officiis et. Et omnis voluptate quidem dolor facilis rerum fugit sit.;;15/07/2019;1
Le gall, Denis and Le roux;0542381807;Collet;03/07/2019 15:44:00;AGR_2019070317PC;undefined_3aae803c-2c39-4aef-b1f3-acb1bb6886f7;765 Menard de l'Odéon;;29486;Le rouxberg;871.40;t1;ABS;13008;OUI;Gaillard;03/07/2019 17:31:10;03/07/2019 18:08:20;04/07/2019 14:07:18;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0586579352;;Rem autem velit qui delectus deserunt. At voluptatem est. Qui doloribus voluptas itaque maxime quis eos unde et. Velit sed quia. Molestiae cupiditate dolores ipsam omnis iste cupiditate iusto inventore in.;;01/08/2019;2
Fleury, Menard and Leroux;+33 564602669;Perrot;04/07/2019 00:32:59;AGR_2019070401IZ;110405_a417e56a-cc3b-4aae-a27b-d45af722064c;2212 Maëlys Saint-Honoré;;89759;East Léo;288.15;t3;ABS;74990;OUI;Laurent;04/07/2019 04:31:11;04/07/2019 04:40:05;04/07/2019 15:34:44;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 241031785;;Vero doloremque ratione quia delectus neque ut quae. Sint vel nihil. Perferendis at necessitatibus illo eos eum sunt exercitationem nam. Quae et et aut nobis rerum quod. Minus quis quis eum id perspiciatis saepe eum. Ullam deleniti reprehenderit sapiente doloremque qui.;;15/07/2019;1
Jacquet EI;+33 349502697;Bernard;04/07/2019 00:29:47;AGR_2019070401DN;20747_4b3a2179-cf09-4b98-9e6a-ac8fea339adb;443 Gerard de Paris;;67387;New Nicolas;290.49;t2;ABS;777;OUI;Brunet;04/07/2019 09:39:44;04/07/2019 10:26:05;04/07/2019 15:37:05;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0611872376;;Quae sed eius pariatur expedita sapiente explicabo aut perspiciatis repellat. Quisquam aliquam officia eum placeat deleniti ad est. Aut praesentium aliquam laudantium quam aut delectus aut molestiae veritatis. Vitae et consequatur qui sint illum assumenda. Nisi aut ullam quia ipsa fugit nulla.;;01/08/2019;1
Mathieu - Breton;0326578118;Jacquet;04/07/2019 00:40:49;AGR_2019070401W1;902117_dcdc4287-e94f-45a8-9fbe-d22b607fe45d;87468 Antoine Bonaparte;;59979;West Maxime;953.83;f2;ABS;68050;OUI;Rousseau;04/07/2019 12:44:05;;;NON;;;;Réception;EN COURS;;+33 259904524;;Rerum nisi corporis est qui veritatis consectetur nihil voluptatum ut. Nesciunt enim aspernatur. Perspiciatis sit nulla ad maxime sint laudantium qui. Voluptatem dolor nostrum possimus omnis modi autem odio pariatur.;;;1
Thomas SARL;+33 487301785;Le roux;04/07/2019 00:50:25;AGR_2019070402C1;undefined_db30a9e4-41ab-408f-8134-5d8648afeb6a;5787 Ethan Royale;;01237;Aliceport;598.21;t2;ABS;77088;OUI;Fernandez;04/07/2019 13:16:11;;;NON;;;;Réception;EN COURS;;0673407946;;Hic quia sed dolor occaecati aliquid quos. Sed expedita nam velit qui neque sit numquam. Beatae laboriosam sed voluptatibus culpa alias dolorem quia rerum. Voluptas doloremque voluptatem accusamus vero consequatur. Corporis reiciendis tempore architecto praesentium aut inventore cum nobis ea. Voluptas quaerat atque dolorem consectetur et tenetur totam.;;01/07/2019;1
Leclercq - Renault;0476518035;Barre;04/07/2019 12:55:26;AGR_201907040ZWE;010076C_32807e08-103c-4efa-abf6-69ed4c850d39;1028 Tom Joubert;;62137;Sarahtown;903.03;t2;ABS;10348;OUI;Dupont;04/07/2019 13:47:28;04/07/2019 14:11:27;04/07/2019 17:36:47;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 344061992;;Rem deleniti iusto dolorum nihil qui quod. Repellendus qui recusandae qui. Vel eveniet libero eos ea iusto accusamus praesentium quae. Qui voluptate voluptatibus sunt et beatae consequatur similique debitis modi. Neque eius dolor dolor voluptas.;;18/07/2019;2
Marty - Andre;0101555949;Schneider;04/07/2019 00:29:26;AGR_2019070401D2;5153_ce130415-86f0-43af-aaa8-4c6f19854c9c;090 Célia des Francs-Bourgeois;;55115;South Mohamed;522.35;t2;ABS;329;OUI;Collet;04/07/2019 12:14:04;04/07/2019 13:04:18;04/07/2019 17:47:27;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0501883875;;Consequuntur laborum sunt cupiditate et unde eos quas. Provident eum repellendus consectetur maxime repellat ut aut dicta similique. Dolor quia sunt dignissimos est earum et aut atque porro. Provident vero voluptatem repellat harum laudantium quidem rerum. Porro dolorem qui inventore facilis sed in. Dolor et in eum odit nostrum quia hic.;;01/08/2019;2
Laine SAS;+33 259303475;Mathieu;04/07/2019 00:31:49;AGR_2019070401H1;026811S_82fd3956-a795-44bf-8b36-4aa3a6cd455c;90055 Olivier de la Pompe;;78556;Port Clara;638.77;t3;ABS;60623;OUI;Lopez;04/07/2019 11:02:44;04/07/2019 11:25:08;04/07/2019 17:58:24;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 118668002;;Et omnis non sed est explicabo veniam aut. Minima aut et quisquam sed. Voluptas ducimus consequatur reprehenderit dolores tenetur molestiae veritatis harum. Voluptatem error animi rerum est dolores consectetur placeat qui iste. Nisi et dolorem hic.;;01/08/2019;1
Meunier - Legrand;0174179705;Fournier;04/07/2019 00:35:29;AGR_2019070401N5;undefined_93688d26-c3f4-4011-bc8a-838c74ae0ef3;36648 Jeanne du Chat-qui-Pêche;;79297;Dumontmouth;911.87;t3;ABS;79349;OUI;Huet;04/07/2019 11:41:33;04/07/2019 11:54:55;04/07/2019 18:06:28;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 436571571;;Minima sunt veniam quasi. Quidem iste at ducimus sit tempora sed ipsam fuga quaerat. Eveniet quis ipsa vitae non est pariatur suscipit eligendi laboriosam. Porro alias qui autem nihil id assumenda autem eaque et. Modi voluptatem molestiae consequuntur delectus.;;05/07/2019;1
Collet - Carre;0579911136;Charpentier;04/07/2019 00:42:39;AGR_2019070401Z3;110418_1cad6672-bc20-4759-aaf1-a8dce653cf9a;002 Maillard Monsieur-le-Prince;;48110;South Maëlle;500.06;f1;ABS;98083;OUI;Baron;04/07/2019 12:22:03;04/07/2019 12:38:50;04/07/2019 18:10:10;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 280496361;;Optio ipsa dicta velit voluptatibus est atque voluptates incidunt. Odit neque sunt ut dicta molestias. Adipisci at autem voluptates officiis dignissimos magni officia molestias eum.;;20/07/2019;1
Dupuy, Fleury and Perrin;+33 759480880;Denis;04/07/2019 00:55:34;AGR_2019070402KM;E_009733_17_3aa12efb-60b4-42df-a814-90145ddb3b10;418 Maëlys de la Chaussée-d'Antin;;84931;Mathéomouth;65.10;f1;ABS;67760;OUI;Aubry;04/07/2019 15:35:10;04/07/2019 16:34:07;04/07/2019 18:26:53;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 693059759;;Et et voluptatem dolores quasi. Ut ut accusantium voluptatum provident et. Deleniti exercitationem consequatur aut. Et aut dolorum consequatur ut quia doloremque. Magnam natus dolorem quae. Facilis commodi ea ducimus et voluptate autem.;;21/08/2019;1
Renault, Paul and Benoit;+33 643708795;Meunier;04/07/2019 01:04:48;AGR_201907040300;23024B_03bd0caf-9d13-44ce-a2c9-498852b29d92;8995 Laine Saint-Honoré;;30382;Léaberg;564.17;t3;ABS;22970;OUI;Robert;04/07/2019 13:34:03;04/07/2019 14:22:35;04/07/2019 18:30:51;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0615863999;;Aut natus distinctio cupiditate. Dolorem accusantium tempora numquam autem labore voluptatem libero. Adipisci earum aut. Dolorem harum quo.;;01/08/2019;2
Joly, Riviere and Andre;+33 678942912;Brunet;04/07/2019 10:11:27;AGR_201907040SB3;C047560V_6a65846e-711e-40c9-9e00-7fedade38343;658 Louise de Vaugirard;;08906;West Valentin;98.98;t1;ABS;39588;OUI;Charpentier;04/07/2019 18:07:47;04/07/2019 18:20:02;04/07/2019 18:36:56;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 715458587;;Hic autem eum labore et ea id laudantium. Nesciunt eos autem distinctio consequuntur eaque soluta illo. Laudantium illo fugiat et ipsa magnam et.;;07/07/2019;1
Martin GIE;+33 726218777;Brun;04/07/2019 00:27:48;AGR_2019070401AC;0268115_3346df50-8ebd-484d-9ae8-11065e23ac2b;312 Denis Bonaparte;;18019;Louiseville;120.10;f1;ABS;34210;OUI;Leroux;04/07/2019 10:30:25;04/07/2019 10:40:24;04/07/2019 18:42:48;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 433283318;;Inventore impedit et sunt animi. Nulla tempore delectus et quasi autem dignissimos. Enim rerum iure consectetur voluptas.;;30/07/2019;2
Brunet SCOP;0792131507;Olivier;04/07/2019 00:24:25;AGR_20190704014P;42992_9b022721-d46f-436b-9603-2214d9b3771d;7941 Marie de Presbourg;;26523;Linaburgh;514.03;t2;ABS;46125;OUI;Duval;04/07/2019 10:09:43;04/07/2019 11:33:27;04/07/2019 18:56:16;OUI;;;;Terminé;REFUSE;NON;0175036305;TAUX EFF;Ut facere sed. Saepe voluptate enim earum. Perspiciatis dolor maiores temporibus dignissimos dolore occaecati in. Dolores totam sit.;;20/07/2019;1
Prevost EURL;+33 437290603;Bonnet;04/07/2019 10:45:29;AGR_201907040TVT;20638_7214292d-0595-4b3c-b93b-b2b2ae9a04e6;890 Barre d'Argenteuil;;29663;South Louischester;614.48;t3;ABS;31254;OUI;Perez;04/07/2019 18:55:09;04/07/2019 22:01:04;04/07/2019 22:06:04;OUI;;;;Terminé;REFUSE;NON;0767149209;TAUX EFF;Rerum ut nihil est nihil possimus provident mollitia libero. Consectetur odio velit et reprehenderit consectetur facilis rerum aperiam perferendis. Id reprehenderit voluptatem possimus minus. Qui architecto aut totam qui molestiae consequatur sit. Quis eius dolorum voluptate quia corrupti dolorem qui omnis in.;;15/08/2019;1
Menard, Masson and Charpentier;+33 692771159;Gonzalez;01/07/2019 15:43:17;AGR_2019070117O5;40639_305f3707-e66c-4915-921e-05c78489c4e6;27404 Baptiste des Panoramas;;91468;Henryshire;278.49;t1;ABS;51915;OUI;Henry;01/07/2019 16:06:03;01/07/2019 17:27:29;04/07/2019 22:32:41;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 710609662;;Explicabo nulla repudiandae neque excepturi omnis velit exercitationem. Laborum eligendi est nihil autem non sit rem. Corrupti alias quod nihil. Quia similique sint optio deserunt accusantium incidunt facilis.;;01/09/2019;2
Berger, Julien and Dubois;+33 695905973;Henry;04/07/2019 01:00:48;AGR_2019070402TC;620_2156461c-edbf-41c7-bcee-586974d67191;2423 Pierre d'Argenteuil;;96176;Paulinemouth;681.43;f2;ABS;67973;OUI;Rey;04/07/2019 16:32:22;04/07/2019 17:07:48;04/07/2019 22:37:04;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0620350496;;Ullam rem quia. Quidem nulla aut ut sit dolores et quisquam impedit facilis. Atque et et itaque sed. Occaecati necessitatibus similique ut ut quis molestias voluptatem fugiat. Suscipit minima quia at reprehenderit.;;01/08/2019;1
Perrin, Joly and Lemaire;0173864970;Schmitt;04/07/2019 01:11:21;AGR_2019070403AX;3916_6ab1f0d9-cdad-45b2-b1a6-95badaf5eb5b;79033 Carla du Faubourg-Saint-Denis;;37292;East Clémence;532.38;f2;ABS;26548;OUI;Joly;04/07/2019 17:16:56;04/07/2019 17:25:20;04/07/2019 22:39:34;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 245741768;;Provident qui et itaque consequatur voluptates. Dolore quidem explicabo similique quia eaque at nam suscipit. Quod voluptates omnis et eum in id vitae. Neque dignissimos aperiam sed perspiciatis. Praesentium dolor aliquid adipisci qui aut ut tenetur.;;25/07/2019;1
Jean SAS;+33 775425237;Vidal;25/06/2019 17:37:47;AGR_201906251CYZ;043626U_7d00e3e1-b8c4-4067-ae98-616403f3c752;32318 Perrot Saint-Séverin;;04711;North Maëlle;337.10;f1;ABS;90201;OUI;Vasseur;25/06/2019 17:43:26;25/06/2019 18:12:18;04/07/2019 22:44:02;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0298258518;;Recusandae et aut aperiam aut. Non voluptates et. Distinctio impedit exercitationem voluptas similique soluta voluptas. Ducimus voluptatem quia eos voluptatem libero.;;;1
Dupuy - Aubert;0225187969;Marchal;26/06/2019 11:06:14;AGR_201906260UUE;002134U_da895fd1-8d1c-40b7-8150-c8cdc3d6797c;2121 Océane Montorgueil;;16980;New Romaneberg;177.92;f2;ABS;38579;OUI;Mathieu;26/06/2019 11:14:48;26/06/2019 11:45:27;04/07/2019 22:44:50;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 380901054;;Aut voluptatum eveniet nobis ad suscipit ex. Est itaque aperiam cum vero aliquam molestias ut. Soluta fuga magnam voluptates. Earum voluptatem cupiditate sit repellendus aliquam. Non ad explicabo et earum.;;26/07/2019;1
